"ID";"ICAO codes";"Names";"Country";"NUTS-3 localizations";"Metro Regions";"NUTS-3 aggregated";"NUTS-2 localizations";"EURO zone member"
1;"BIKF";"Keflavik (Reykjavik)";"Iceland";"IS002";;"IS002";"IS00";0
2;"BIRK";"Reykjavik";"Iceland";"IS001";;"IS001";"IS00";0
3;"EBAW";"Antwerp";"Belgium";"BE211";"BE002M";"BE211";"BE21";1
4;"EBBR";"Brussels-Zaventem";"Belgium";"BE241";"BE001MC";"BE100,BE231,BE241,BE242,BE310,BE32A,BE32C";"BE10,BE23,BE24,BE31,BE32";1
5;"EBCI";"Brussels-Charleroi";"Belgium";"BE32B";"BE004M";"BE32B,BE32D,BE353";"BE32,BE35";1
6;"EBKT";"Flanders (Wevelgem/Kortrijk)";"Belgium";"BE254";;"BE254";"BE25";1
7;"EBLG";"Liège";"Belgium";"BE332";"BE005M";"BE331,BE332,BE334";"BE33";1
8;"EBOS";"Ostende-Brügge";"Belgium";"BE255";;"BE255";"BE25";1
9;"EBSG";"Saint Gishlain";"Belgium";"BE323";;"BE323";"BE32";1
10;"EBSH";"Saint-Hubert";"Belgium";"BE344";;"BE344";"BE34";1
11;"EBSP";"Spa-La Sauveniere";"Belgium";"BE335";;"BE335";"BE33";1
12;"EBST,EBZW";"Sint-Truiden/Brustem, Zwartberg Airfield (Genk)";"Belgium";"BE224";;"BE224";"BE22";1
13;"EDAH";"Heringsdorf (Usedom)";"Germany";"DE80N";;"DE80N";"DE80";1
14;"EDAP";"Cottbus-Neuhausen";"Germany";"DE40G";;"DE40G";"DE40";1
15;"EDBH";"Barth (Stralsund)";"Germany";"DE80L";;"DE80L";"DE80";1
16;"EDBJ";"Jena-Schöngleina";"Germany";"DEG0J";;"DEG0J";"DEG0";1
17;"EDBK";"Kyritz";"Germany";"DE40D";;"DE40D";"DE40";1
18;"EDBN";"Neubrandenburg";"Germany";"DE80J";"DE064M";"DE80J";"DE80";1
19;"EDCJ";"Chemnitz-Jahnsdorf";"Germany";"DED42";;"DED42";"DED4";1
20;"EDDC";"Dresden";"Germany";"DED21";"DE009M";"DED21,DED2C,DED2E,DED2F";"DED2";1
